filepath,label,split,source_label,is_silence,start_sample
D:\CVprojects\DL-Project\data\go\c50f55b8_nohash_2.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\_background_noise_\running_tap.wav,silence,train,_background_noise_,1,716047
D:\CVprojects\DL-Project\data\right\9712cce0_nohash_0.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\on\0585b66d_nohash_3.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\yes\71f6fed7_nohash_0.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\eight\953fe1ad_nohash_3.wav,unknown,train,eight,0,0
D:\CVprojects\DL-Project\data\off\9f869f70_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\no\676f8138_nohash_0.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\left\050170cb_nohash_0.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\_background_noise_\dude_miaowing.wav,silence,train,_background_noise_,1,820910
D:\CVprojects\DL-Project\data\five\3291330e_nohash_3.wav,unknown,train,five,0,0
D:\CVprojects\DL-Project\data\on\13199b79_nohash_4.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\left\69a1a79f_nohash_2.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\on\d486fb84_nohash_0.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\down\71aa5b54_nohash_1.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\left\fa44fcf5_nohash_0.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\up\c120e80e_nohash_3.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\_background_noise_\pink_noise.wav,silence,train,_background_noise_,1,250164
D:\CVprojects\DL-Project\data\bed\64a80906_nohash_0.wav,unknown,train,bed,0,0
D:\CVprojects\DL-Project\data\off\c120e80e_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\_background_noise_\running_tap.wav,silence,train,_background_noise_,1,48045
D:\CVprojects\DL-Project\data\_background_noise_\dude_miaowing.wav,silence,train,_background_noise_,1,520438
D:\CVprojects\DL-Project\data\go\7d6b4b10_nohash_1.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\down\61ab8fbc_nohash_4.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\stop\0ff728b5_nohash_2.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\left\a04817c2_nohash_0.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\one\f568162b_nohash_1.wav,unknown,train,one,0,0
D:\CVprojects\DL-Project\data\on\ab5b211a_nohash_1.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\go\02ade946_nohash_0.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\off\5b09db89_nohash_1.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\go\b52bd596_nohash_0.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\go\37e8db82_nohash_1.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\left\745a8e32_nohash_0.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\off\9f869f70_nohash_1.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\off\89947bd7_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\stop\0137b3f4_nohash_2.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\off\25c14394_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\off\9886d8bf_nohash_4.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\_background_noise_\white_noise.wav,silence,train,_background_noise_,1,556189
D:\CVprojects\DL-Project\data\down\d430b3cc_nohash_0.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\up\617de221_nohash_0.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\right\e2286c18_nohash_2.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\go\3d6bee47_nohash_0.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\off\baeac2ba_nohash_1.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\happy\4bb1244f_nohash_0.wav,unknown,train,happy,0,0
D:\CVprojects\DL-Project\data\off\333784b7_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\up\b5cf6ea8_nohash_0.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\left\f44f440f_nohash_0.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\off\bd76a7fd_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\right\3ce4910e_nohash_1.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\up\79903546_nohash_0.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\on\6f3458b3_nohash_0.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\stop\d9b8fab2_nohash_1.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\learn\e882abb2_nohash_1.wav,unknown,train,learn,0,0
D:\CVprojects\DL-Project\data\up\3a3ee7ed_nohash_4.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\yes\c0cb43d6_nohash_0.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\down\18e910f4_nohash_1.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\no\7d6b4b10_nohash_3.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\off\50a8ef27_nohash_1.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\up\2bdbe5f7_nohash_3.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\down\96a48d28_nohash_2.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\off\b7a0754f_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\off\ab76ac76_nohash_1.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\zero\234ab0fb_nohash_0.wav,unknown,train,zero,0,0
D:\CVprojects\DL-Project\data\up\be7a5b2d_nohash_2.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\left\0135f3f2_nohash_0.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\seven\9ce7a419_nohash_0.wav,unknown,train,seven,0,0
D:\CVprojects\DL-Project\data\off\da584bc0_nohash_3.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\go\106a6183_nohash_0.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\right\0474c92a_nohash_1.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\backward\98ea0818_nohash_4.wav,unknown,train,backward,0,0
D:\CVprojects\DL-Project\data\off\92b2bf59_nohash_1.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\left\4e99c1b7_nohash_1.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\down\62f05757_nohash_0.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\seven\40b60ae9_nohash_0.wav,unknown,train,seven,0,0
D:\CVprojects\DL-Project\data\left\172dc2b0_nohash_0.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\_background_noise_\pink_noise.wav,silence,train,_background_noise_,1,236845
D:\CVprojects\DL-Project\data\left\0ff728b5_nohash_4.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\_background_noise_\white_noise.wav,silence,train,_background_noise_,1,143910
D:\CVprojects\DL-Project\data\off\9be15e93_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\off\6aa8def4_nohash_1.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\off\a04817c2_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\off\cb62dbf1_nohash_2.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\down\a583c5b0_nohash_0.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\_background_noise_\white_noise.wav,silence,train,_background_noise_,1,580684
D:\CVprojects\DL-Project\data\no\88a487ce_nohash_1.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\stop\a24582a0_nohash_0.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\go\616420be_nohash_2.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\stop\c392e01d_nohash_0.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\no\197f4153_nohash_3.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\on\9b02d503_nohash_4.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\yes\7d86b703_nohash_1.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\down\74241b28_nohash_0.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\down\2fee065a_nohash_3.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\stop\25e95412_nohash_4.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\visual\978240e1_nohash_3.wav,unknown,train,visual,0,0
D:\CVprojects\DL-Project\data\five\2748cce7_nohash_1.wav,unknown,train,five,0,0
D:\CVprojects\DL-Project\data\no\8e523821_nohash_2.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\go\6af4aa07_nohash_0.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\no\35be2cc3_nohash_0.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\seven\4bba14ce_nohash_0.wav,unknown,train,seven,0,0
D:\CVprojects\DL-Project\data\_background_noise_\exercise_bike.wav,silence,train,_background_noise_,1,349636
D:\CVprojects\DL-Project\data\five\cb62dbf1_nohash_3.wav,unknown,train,five,0,0
D:\CVprojects\DL-Project\data\up\89947bd7_nohash_4.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\off\b66f4f93_nohash_1.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\nine\95218ce8_nohash_0.wav,unknown,train,nine,0,0
D:\CVprojects\DL-Project\data\nine\35d1b6ee_nohash_1.wav,unknown,train,nine,0,0
D:\CVprojects\DL-Project\data\_background_noise_\exercise_bike.wav,silence,train,_background_noise_,1,191134
D:\CVprojects\DL-Project\data\up\c5c60d8d_nohash_0.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\up\25e95412_nohash_1.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\_background_noise_\exercise_bike.wav,silence,train,_background_noise_,1,944846
D:\CVprojects\DL-Project\data\up\4beff0c5_nohash_0.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\up\59c3a7f2_nohash_0.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\no\18e910f4_nohash_4.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\no\569455ff_nohash_0.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\on\2927c601_nohash_1.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\down\af30314d_nohash_0.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\stop\33246bc2_nohash_0.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\stop\c5570933_nohash_0.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\down\62f05757_nohash_1.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\go\748cb308_nohash_0.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\bed\dcbfe008_nohash_1.wav,unknown,train,bed,0,0
D:\CVprojects\DL-Project\data\go\6adb8ad9_nohash_1.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\down\f250345e_nohash_0.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\on\3c257192_nohash_1.wav,on,train,on,0,0
D:\CVprojects\DL-Project\data\off\3d6bee47_nohash_0.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\up\ec9b830b_nohash_0.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\right\070b49af_nohash_0.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\_background_noise_\doing_the_dishes.wav,silence,train,_background_noise_,1,1311451
D:\CVprojects\DL-Project\data\marvin\789e4ee7_nohash_0.wav,unknown,train,marvin,0,0
D:\CVprojects\DL-Project\data\yes\f5626af6_nohash_1.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\happy\91bed2e0_nohash_0.wav,unknown,train,happy,0,0
D:\CVprojects\DL-Project\data\go\a7200079_nohash_0.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\yes\54aecbd5_nohash_4.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\up\9448c397_nohash_0.wav,up,train,up,0,0
D:\CVprojects\DL-Project\data\right\33246bc2_nohash_0.wav,right,train,right,0,0
D:\CVprojects\DL-Project\data\stop\b66f4f93_nohash_4.wav,stop,train,stop,0,0
D:\CVprojects\DL-Project\data\no\14c2b13d_nohash_0.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\left\91bed2e0_nohash_3.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\no\d1dd03ed_nohash_4.wav,no,train,no,0,0
D:\CVprojects\DL-Project\data\down\40738a2d_nohash_3.wav,down,train,down,0,0
D:\CVprojects\DL-Project\data\left\3e6e5b0f_nohash_0.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\left\fd9c7413_nohash_1.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\left\a9b574b3_nohash_0.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\_background_noise_\doing_the_dishes.wav,silence,train,_background_noise_,1,12262
D:\CVprojects\DL-Project\data\yes\0a196374_nohash_0.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\go\a5d485dc_nohash_0.wav,go,train,go,0,0
D:\CVprojects\DL-Project\data\left\559bc36a_nohash_3.wav,left,train,left,0,0
D:\CVprojects\DL-Project\data\yes\cb62dbf1_nohash_0.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\yes\131e738d_nohash_2.wav,yes,train,yes,0,0
D:\CVprojects\DL-Project\data\off\3d794813_nohash_2.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\off\5e033479_nohash_3.wav,off,train,off,0,0
D:\CVprojects\DL-Project\data\two\89ed36ab_nohash_0.wav,unknown,train,two,0,0
D:\CVprojects\DL-Project\data\down\363c6bad_nohash_1.wav,down,train,down,0,0
