model,condition,accuracy,accuracy_percent,avg_latency_ms,num_samples,model_size_kb
float32,clean,0.89,89.0,0.7760869998310227,100,1014.8203125
int8,clean,0.89,89.0,0.3480670000135433,100,271.3203125
int4,clean,0.89,89.0,0.3287679995992221,100,271.3203125
float32,20,0.89,89.0,0.7941479998407885,100,1014.8203125
int8,20,0.87,87.0,0.36378900083946064,100,271.3203125
int4,20,0.87,87.0,0.354576998797711,100,271.3203125
float32,10,0.89,89.0,0.8121580000442918,100,1014.8203125
int8,10,0.89,89.0,0.3553950000787154,100,271.3203125
int4,10,0.89,89.0,0.3547860006801784,100,271.3203125
float32,0,0.72,72.0,0.7976159991812892,100,1014.8203125
int8,0,0.73,73.0,0.3542479999305215,100,271.3203125
int4,0,0.73,73.0,0.3495400000247173,100,271.3203125
float32,-5,0.61,61.0,0.8122099995671306,100,1014.8203125
int8,-5,0.6,60.0,0.3633660002378747,100,271.3203125
int4,-5,0.6,60.0,0.36050799884833395,100,271.3203125
